csa2010,temp_mean_aft,perc_below_poverty,violent_crime_rate_per_1_000_residents,life_expectancy,unemployment_rate
madison/east end,98.34544717108916,33.74233129,28.65955533,68.7,21.9123506
patterson park north & east,97.4006451630311,21.68766705,27.35583202,72.3,5.850869724
oldtown/middle east,97.29888872107838,40.12629162,38.02015767,69.4,14.17579165
midtown,96.89884799272232,5.419489317,20.83888149,76.3,5.885934646
greenmount east,96.88523437643809,24.20062696,32.86901271,67.4,23.05882353
clifton-berea,96.65768050273238,27.64952781,25.11646749,67.6,17.95783592
midway/coldstream,96.39984636705722,22.60387812,26.08063175,67.6,25.68875652
greater charles village/barclay,96.30529231882406,18.99141631,23.48849979,74,8.2421875
highlandtown,96.28781465268465,6.652512385,28.13793103,75.2,4.439533949
upton/druid heights,95.90773022734064,42.98245614,30.94179076,68.1,12.46514222
downtown/seton hill,95.83327936390623,6.818181818,80.98045299,65.7,3.874031492
the waverlies,95.78999067025407,20.51435407,21.15310203,71.1,10.74851075
harbor east/little italy,95.76445733128166,26.85827552,41.05788792,71.6,11.63807602
southwest baltimore,95.5964210388872,35.78324509,33.93905507,67,15.21526419
orangeville/east highlandtown,95.55819803348865,13.23671498,39.09757967,73.3,4.942528736
washington village/pigtown,95.54956131106724,22.57425743,37.79756496,70.1,13.00597213
poppleton/the terraces/hollins market,95.42939469715634,44.97237569,30.47581597,66.9,15.96045198
sandtown-winchester/harlem park,95.42552442282644,35.04508036,27.99409237,68.8,15.11700145
fells point,95.37620036375804,3.263546798,19.13928532,78.4,2.367750637
inner harbor/federal hill,95.34440273040536,2.33570863,16.4916375,81,2.273226444
canton,95.28471357285596,3.661784288,10.37037037,79.8,2.390766694
westport/mount winans/lakeland,95.19034068916628,21.82284981,31.60556258,73.3,15.57324841
morrell park/violetville,95.13831011202697,12.80853903,20.86122267,72.9,9.569509186
belair-edison,95.11035488843541,20.2745771,19.2926045,70.5,14.94080827
pimlico/arlington/hilltop,95.11027859431904,19.1190253,24.11983751,67.7,15.94521888
brooklyn/curtis bay/hawkins point,95.01289405401937,24.21360644,29.90942919,69.2,12.84803757
greater mondawmin,94.98476611849748,18.76832845,27.35464493,69.4,13.20506062
cherry hill,94.95607375580053,39.33701657,26.70080468,70,11.30111524
medfield/hampden/woodberry/remington,94.8897437802062,5.980484734,10.86956522,76.6,5.224609375
south baltimore,94.87937850019935,0.826446281,6.08804246,77.1,1.989013071
southeastern,94.76871932457914,30.28169014,21.4057508,71.4,10.14218009
southern park heights,94.71720970464764,31.62575596,19.42186089,69,20.43119081
claremont/armistead,94.64673931598085,24,15.7939497,70.5,13.38418863
glen-fallstaff,94.64085341320208,17.76393832,17.36623307,77.1,9.566150544
greater rosemont,94.5969257279597,23.63387978,27.41575367,68.7,16.02844639
cedonia/frankford,94.44321152541572,12.18214075,15.62168358,72.2,8.4
dorchester/ashburton,94.32553017809948,17.44510978,15.95112846,71.7,15.56411903
northwood,94.2258705439001,6.609017912,11.3561257,75.2,10.88344864
greater govans,94.1459116790309,19.53226505,14.04362887,73,15.44749528
penn north/reservoir hill,94.13648828458304,25.9645464,17.17004551,70.9,12.46200608
allendale/irvington/s. hilton,94.04508087004136,20.69506141,19.36239748,69.6,15.31647195
hamilton,93.9548577464681,8.997655334,11.92124289,72.8,7.095731789
chinquapin park/belvedere,93.82799471898164,10.12591815,10.57246003,75.3,11.98494039
loch raven,93.82449771873195,5.385029618,10.31937822,74.4,11.88519847
harford/echodale,93.79087704929552,10.15709642,12.6492072,75.5,8.239947264
lauraville,93.65943808656733,7.488679902,8.718324778,75.3,10.61617259
cross-country/cheswolde,93.4609804338794,9.894121942,2.838729477,85,5.82925912
howard park/west arlington,93.44866999595756,15.47186933,11.31242527,75,10.46901173
north baltimore/guilford/homeland,93.4035651635441,3.482899278,5.668804398,82.4,6.011315417
greater roland park/poplar hill,92.7598882546724,2.146892655,3.795580859,83.6,3.174149271
beechfield/ten hills/west hills,92.62253580423567,10.47490738,11.00782779,73.4,7.757975139
edmondson village,92.097323629098085,8.887733888,14.17721519,70.7,12.08762887
forest park/walbrook,92.0506005128165,19.26267281,14.92537313,72.8,12.11984681
mount washington/coldspring,91.97846769305373,1.996370236,10.25541796,79.8,4.261250498
dickeyville/franklintown,90.4510476366674,17.40890688,9.02218971,74.4,3.485714286
