variable,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm
aland10,-0.23602015069218227,-0.2036423733544945,-0.5757797196452498,0.003845988223415848,-0.33024203403677294,-0.3210245362888676,-0.5382250419553681,-0.34659824757744695,-0.36903728303440814,-0.3548699233914797,-0.5698010463336651,-0.25562302878782284
awater10,0.326855206497582,0.34107027716382815,-0.005016372478023775,0.4065778639642302,0.18466902683487632,0.17957694927554788,0.017339326037658444,0.04706413612079396,0.1568771871698343,0.14693711005106813,-0.02326575190764702,0.13994138369036352
intptlat10,-0.5383662240892273,-0.5595155894326691,-0.23174015017348468,-0.7040380499603778,-0.44699240318515726,-0.4666203674324349,-0.21459634412237336,-0.32760217198899116,-0.41457008881873547,-0.4528834944249591,-0.20440588051759415,-0.4566739359810441
intptlon10,0.35613818318560064,0.37027027447202554,0.16350693352629211,0.21346890894696674,0.3106448650605201,0.2391477388863161,0.07513075070118153,0.08333074242624693,0.29105096479589826,0.2424351641393878,0.22230971882559927,0.14294600741916438
white_%,-0.018168226013343648,-0.0237047503895892,-0.06792955825581472,0.15326136118397266,-0.11617078700495997,-0.0831151824071881,-0.10093133322040508,0.049238115994935765,-0.15470767333105095,-0.1553562267698747,-0.1377048724185109,-0.0845022519632638
black_%,0.025450151915066943,0.03219068848255198,0.05508178678724734,-0.15088855407990096,0.1206093405919156,0.08468168549588843,0.09455195956765226,-0.06766110117483401,0.15889313107864275,0.15942097170159145,0.12392984668865471,0.08120796357643527
otherrace_or_multirace_%,-0.0642330564456164,-0.07658680081336229,0.04489885155312903,0.08801441789063459,-0.11108076270112276,-0.06802752588268601,-0.023699489136509717,0.1647473090668222,-0.13565527460346424,-0.135240480149651,0.003740083882022681,-0.034400511483306785
poverty_%,0.5730555928546412,0.5724407242237113,0.5449968894084976,0.4832542697502729,0.6847173105611515,0.6884143371707797,0.5375031392351649,0.5524363598624098,0.6939279191988371,0.7169436897271723,0.6081523146891935,0.6263371974565404
single_family_detached_houses_%,-0.596746357479071,-0.5949452562537552,-0.5616780266320143,-0.44720727480792066,-0.6507974262543498,-0.6754936589738707,-0.48659387831088885,-0.695346828458314,-0.6697144249447641,-0.6823613623807293,-0.5658008006060002,-0.6126348758287966
65+_%,-0.5030767182747996,-0.49820906590670494,-0.5040265394835242,-0.31697104491224837,-0.4464072277329614,-0.4379653935372043,-0.5083045576893852,-0.2876500983551249,-0.4820844141735813,-0.4691837991806131,-0.5749745274580695,-0.3085254704748368
0-17_%,-0.03337443379800266,0.02129465918881308,-0.3511287873489913,0.006128024286151006,-0.04659161401160709,-0.0864999537365304,-0.31771663042212406,-0.11108191720328564,-0.0586620064006289,-0.03953424241204061,-0.2976159961530408,-0.038568804011985224
disabled_%,0.33535641157982604,0.35607409169405674,0.14764646013725963,0.37992336641118235,0.3924408122150439,0.37037294099821105,0.0790281903937673,0.270292837973472,0.3976912478575418,0.4240837352540358,0.16678220360833634,0.4209398700970359
renter_%,0.5991399989624473,0.5712174611032167,0.7319673388905652,0.5231748099977896,0.6898201927669496,0.7325670653159402,0.7301745023894918,0.7554973459236084,0.7004338303148973,0.7212343472905146,0.7692733740519385,0.6792819919352548
vacancy_%,0.4540252080754776,0.45911579774971417,0.3854121499946208,0.3433313428833147,0.5496873678773986,0.5459720325824857,0.3766985163433402,0.34012592267373876,0.5760290685493112,0.5930492134116567,0.4452675060620626,0.4724654217488759
home_median_price_d,-0.25902702223353274,-0.30002222970026177,-0.02206941137141166,-0.17205017269483014,-0.32260325612404744,-0.2822695659256455,0.01992362026214447,-0.08618632178570648,-0.35584260581803834,-0.36955995178479734,-0.1452004431975924,-0.28434714372219755
median_household_income_d,-0.3814658394786816,-0.39347047208393393,-0.3022426235813695,-0.29314726122900703,-0.5086654815966231,-0.5003147058340578,-0.2695348552157971,-0.3263253512845773,-0.521042485359433,-0.5393567545072454,-0.40440519385063445,-0.45060839792348906
median_age_a,-0.31084995528298387,-0.30392562817570457,-0.3894235629293011,-0.23818437643887003,-0.2798982375282526,-0.3028399757641903,-0.439924557873273,-0.27701820266011673,-0.30518166289702436,-0.29881025156861557,-0.43601206775676615,-0.18341453822790843
