STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,07_mean,15_mean
"24","510","080200","2007","245100802002007",Block 2007,G5040,U,"04843",U,S,"2057","0","+39.3096809","-076.5838562",0.142050332083314,0.182497994961989
"24","510","080200","2016","245100802002016",Block 2016,G5040,U,"04843",U,S,"2563","0","+39.3103719","-076.5846316",0.157156966682071,0.210427596705358
"24","510","080200","2006","245100802002006",Block 2006,G5040,U,"04843",U,S,"2472","0","+39.3104375","-076.5839008",0.346416157820573,0.282098974185548
"24","510","080200","2011","245100802002011",Block 2011,G5040,U,"04843",U,S,"4665","0","+39.3106143","-076.5849104",0.079924715817147,0.14982895896509
"24","510","080200","2013","245100802002013",Block 2013,G5040,U,"04843",U,S,"4437","0","+39.3104912","-076.5856377",0.112976931411911,0.212212893364879
"24","510","080200","2004","245100802002004",Block 2004,G5040,U,"04843",U,S,"4994","0","+39.3106077","-076.5842194",0.104281183440758,0.150071385056108
"24","510","080200","2001","245100802002001",Block 2001,G5040,U,"04843",U,S,"9253","0","+39.3117799","-076.5841598",0.108964526971902,0.138021493607396
"24","510","080200","2014","245100802002014",Block 2014,G5040,U,"04843",U,S,"2983","0","+39.3094390","-076.5852509",0.123056561174043,0.163107204310284
"24","510","080200","2003","245100802002003",Block 2003,G5040,U,"04843",U,S,"6962","0","+39.3114319","-076.5849741",0.116621237042548,0.14085728774655
"24","510","080200","2010","245100802002010",Block 2010,G5040,U,"04843",U,S,"7168","0","+39.3094486","-076.5847542",0.105099607273858,0.16589333160521
"24","510","080200","2002","245100802002002",Block 2002,G5040,U,"04843",U,S,"14625","0","+39.3120689","-076.5853024",0.109578228872535,0.122822898651535
"24","510","080200","2009","245100802002009",Block 2009,G5040,U,"04843",U,S,"5293","0","+39.3093929","-076.5841137",0.052474309132873,0.080953007766224
"24","510","080200","2015","245100802002015",Block 2015,G5040,U,"04843",U,S,"4217","0","+39.3094379","-076.5856004",0.05770618201845,0.104199366652898
"24","510","080200","2012","245100802002012",Block 2012,G5040,U,"04843",U,S,"2797","0","+39.3105446","-076.5852915",0.057750431778929,0.117531302932678
"24","510","080200","2000","245100802002000",Block 2000,G5040,U,"04843",U,S,"11376","0","+39.3118779","-076.5834398",0.104859653564399,0.097693733717711
"24","510","080200","2005","245100802002005",Block 2005,G5040,U,"04843",U,S,"8043","0","+39.3105783","-076.5833650",0.063559175186276,0.05561379644952
"24","510","080200","2008","245100802002008",Block 2008,G5040,U,"04843",U,S,"7859","0","+39.3095120","-076.5833025",0.038818365869157,0.077799977537521
