nbrdesc,is_target_nsa,all_tracked_spaces,spaces_with_live_trees,spaces_without_live_trees,suitable_without_tree,unsuitable_without_tree,perc_spaces_treed,perc_spaces_nontreed,perc_of_nontreed_are_suitable,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam
baltimore highlands,TRUE,597,411,186,169,17,68.84,31.16,90.86,411,186,9,20,140,17,4.84,10.75,75.27,9.14,23,79,309,5.6,19.22,75.18,14.3,4.71
berea,TRUE,937,623,314,268,46,66.49,33.51,85.35,623,314,186,39,43,46,59.24,12.42,13.69,14.65,22,118,483,3.53,18.94,77.53,15.7,4.95
biddle street,TRUE,368,272,96,84,12,73.91,26.09,87.5,272,96,8,10,66,12,8.33,10.42,68.75,12.5,9,60,203,3.31,22.06,74.63,21.36,7.83
broadway east,TRUE,1526,386,1140,1025,115,25.29,74.71,89.91,386,1140,6,35,984,115,0.53,3.07,86.32,10.09,57,122,207,14.77,31.61,53.63,21.97,9.54
care,TRUE,544,398,146,110,36,73.16,26.84,75.34,398,146,7,19,84,36,4.79,13.01,57.53,24.66,30,127,241,7.54,31.91,60.55,17.99,5.52
ellwood park/monument,TRUE,1067,860,207,182,25,80.6,19.4,87.92,860,207,26,50,106,25,12.56,24.15,51.21,12.08,43,167,650,5,19.42,75.58,15.94,5.1
highlandtown,TRUE,955,656,299,267,32,68.69,31.31,89.3,656,299,42,40,185,32,14.05,13.38,61.87,10.7,29,130,497,4.42,19.82,75.76,16.51,5.86
madison-eastend,TRUE,559,451,108,101,7,80.68,19.32,93.52,451,108,28,17,56,7,25.93,15.74,51.85,6.48,22,67,362,4.88,14.86,80.27,14.27,4.09
mcelderry park,TRUE,942,751,191,166,25,79.72,20.28,86.91,751,191,8,40,118,25,4.19,20.94,61.78,13.09,32,158,561,4.26,21.04,74.7,18.1,6.07
middle east,TRUE,990,615,375,347,28,62.12,37.88,92.53,615,375,56,37,254,28,14.93,9.87,67.73,7.47,48,117,450,7.8,19.02,73.17,17.15,4.85
milton-montford,TRUE,391,289,102,95,7,73.91,26.09,93.14,289,102,NA,6,89,7,NA,5.88,87.25,6.86,8,51,230,2.77,17.65,79.58,15.3,3.74
oliver,TRUE,1526,945,581,461,120,61.93,38.07,79.35,945,581,43,93,325,120,7.4,16.01,55.94,20.65,98,237,610,10.37,25.08,64.55,19.31,8.04
patterson park neighborhood,TRUE,1319,1099,220,177,43,83.32,16.68,80.45,1099,220,6,27,144,43,2.73,12.27,65.45,19.55,26,177,896,2.37,16.11,81.53,16.24,5.54
patterson place,TRUE,274,240,34,25,9,87.59,12.41,73.53,240,34,3,5,17,9,8.82,14.71,50,26.47,13,65,162,5.42,27.08,67.5,19.64,6.54
upper fells point,TRUE,908,710,198,168,30,78.19,21.81,84.85,710,198,3,32,133,30,1.52,16.16,67.17,15.15,30,128,552,4.23,18.03,77.75,26.35,9.14
butcher's hill,FALSE,628,586,42,41,1,93.31,6.69,97.62,586,42,4,18,19,1,9.52,42.86,45.24,2.38,22,120,444,3.75,20.48,75.77,25.27,8.37
canton,FALSE,4132,2809,1323,1201,122,67.98,32.02,90.78,2809,1323,84,176,941,122,6.35,13.3,71.13,9.22,192,884,1733,6.84,31.47,61.69,21.91,8.39
washington hill,FALSE,1020,643,377,352,25,63.04,36.96,93.37,643,377,19,38,295,25,5.04,10.08,78.25,6.63,45,214,384,7,33.28,59.72,24.57,10.03
